tconst,ordering,nconst,category,job,characters
tt5695672,1,nm1727781,actor,\N,"[""David""]"
tt5695672,2,nm1727781,actor,\N,"[""Husband""]"
tt5695672,3,nm8130637,actress,\N,"[""Rina""]"
tt5695672,4,nm8130637,actress,\N,"[""Wife""]"
tt5695672,5,nm4585831,actress,\N,"[""Yifat""]"
tt5695672,6,nm4585831,actress,\N,"[""Daughter""]"
tt5695672,7,nm8130638,actor,\N,"[""Omri""]"
tt5695672,8,nm8130638,actor,\N,"[""Son""]"
tt5695672,9,nm3448455,actor,\N,"[""Evyatar""]"
tt5695672,10,nm3448455,actor,\N,"[""Rina's student""]"
tt5695672,11,nm7295316,actor,\N,"[""Ayman""]"
tt5695672,12,nm7295316,actor,\N,"[""Arab man""]"
tt5695672,13,nm8738069,actor,\N,"[""Imad""]"
tt5695672,14,nm8738069,actor,\N,"[""Ayman's boyfriend""]"
tt5695672,15,nm6686622,actor,\N,"[""Boss""]"
tt5695672,16,nm6104731,actor,\N,"[""Elisha""]"
tt5695672,17,nm6104731,actor,\N,"[""Yifat's friend""]"
tt5695672,18,nm9264165,actress,\N,"[""Fairuz""]"
tt5695672,19,nm9264165,actress,\N,"[""Singer""]"
tt5695672,20,nm0464115,director,\N,\N
tt5695672,21,nm0464115,writer,\N,\N
tt5695672,22,nm2764493,producer,producer,\N
tt5695672,23,nm1001231,producer,producer,\N
tt5695672,24,nm0711940,producer,producer,\N
tt5695672,25,nm0793500,producer,producer,\N
tt5695672,26,nm3623464,composer,\N,\N
tt5695672,27,nm0325905,cinematographer,\N,\N
tt5695672,28,nm0495871,editor,editor,\N
tt5695672,29,nm0044393,casting_director,\N,\N
tt5695672,30,nm0548486,production_designer,\N,\N
tt5836706,1,nm0000560,actor,\N,"[""Amadeus""]"
tt5836706,2,nm0000369,actor,\N,"[""Nick""]"
tt5836706,3,nm0607865,actress,\N,"[""Sarah""]"
tt5836706,4,nm9835370,actress,\N,"[""Matilda""]"
tt5836706,5,nm0000302,actress,\N,"[""Vivian""]"
tt5836706,6,nm0000616,actor,\N,"[""Dr. Holst""]"
tt5836706,7,nm0000627,actress,\N,"[""Abbess""]"
tt5836706,8,nm1099188,actor,\N,"[""Serge""]"
tt5836706,9,nm0916617,actor,\N,"[""Dr. Edwards""]"
tt5836706,10,nm0001709,actor,\N,"[""Waiter London Restaurant""]"
tt5836706,11,nm0001709,director,\N,\N
tt5836706,12,nm1215162,writer,"based on the picture ""Honig im Kopf"" written by",\N
tt5836706,13,nm0001709,writer,"based on the picture ""Honig im Kopf"" written by",\N
tt5836706,14,nm1360200,writer,screenplay by,\N
tt5836706,15,nm4424713,writer,screenplay by,\N
tt5836706,16,nm0001709,producer,producer,\N
tt5836706,17,nm3944445,producer,producer,\N
tt5836706,18,nm1911643,composer,\N,\N
tt5836706,19,nm2351186,composer,composer,\N
tt5836706,20,nm0865427,composer,\N,\N
tt5836706,21,nm0725341,cinematographer,\N,\N
tt5836706,22,nm2836444,editor,\N,\N
tt5836706,23,nm1274810,casting_director,casting_director,\N
tt5836706,24,nm1060389,casting_director,casting_director,\N
tt5836706,25,nm2648635,casting_director,casting_director,\N
tt5836706,26,nm1709838,production_designer,\N,\N
tt5841964,1,nm1082665,actor,\N,"[""Wolfi""]"
