index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,ordering,title_series,genres,startYear,voisin1,voisin2,voisin3,voisin4
5721,/tSpREAMP0HqPZqAKG4ubr4xPDPy.jpg,A young woman whose childhood was so harrowing to her that she developed at least 13 different personalities.,/rQxfLUaZ67vS1bBxR9hqDGOJwqA.jpg,en,7.4,['US'],tt0075296,4.0,Sybil,Drama,1976.0,Sybil,Ardéchois Coeur Fidèle,L'Alphoméga,Shogun
6503,/j5hn3Xn2BDbwR3tBX7s8m8Y1zce.jpg,An English navigator becomes both a player and pawn in complex political games in feudal Japan.,/vfcbFozvKkC2dRqsNn0soIHGfBL.jpg,en,7.642,['US'],tt0080274,4.0,Shogun,Action & Adventure,1980.0,Shogun,Sybil,La Mafia,L'ultime secret
7174,/3sSJcOzSLFfamgOVroKuXIpGCux.jpg,"Three armed robbers--Harry Rawlins, Terry Miller, and Joe Pirelli--die when the security van that they are robbing catches fire in the Kingsway Tunnel in London. Their widows--Dolly Rawlins, Shirley Miller, and Linda Pirelli--find their husbands' plans for the robbery and decide to stage it themselves.",/4wN5a3LFXxd0GtZiGc0meVVymEd.jpg,en,7.0,['GB'],tt0085111,4.0,Les veuves au parfum,Crime,1983.0,Les veuves au parfum,Sadat,Pause-café,La Griffe du destin
7191,/bE8ArAxpwIRfQXHX6zEaUzoSPOV.jpg,"An epic crime saga of power, money, violence and corruption. The mafia controls everything through local and international networks like an octopus, and anyone who tries to bring them down pays the ultimate price.",/2gLLftWX1ecorSXq2jBMosQAcKx.jpg,it,8.0,['IT'],tt0086779,4.0,L'ultime secret,Drama,1984.0,L'ultime secret,La Mafia 2,La Mafia,La Mafia 3
7192,/bE8ArAxpwIRfQXHX6zEaUzoSPOV.jpg,"An epic crime saga of power, money, violence and corruption. The mafia controls everything through local and international networks like an octopus, and anyone who tries to bring them down pays the ultimate price.",/2gLLftWX1ecorSXq2jBMosQAcKx.jpg,it,8.0,['IT'],tt0086779,4.0,La Mafia,Drama,1984.0,L'ultime secret,La Mafia 2,La Mafia,La Mafia 3
7193,/bE8ArAxpwIRfQXHX6zEaUzoSPOV.jpg,"An epic crime saga of power, money, violence and corruption. The mafia controls everything through local and international networks like an octopus, and anyone who tries to bring them down pays the ultimate price.",/2gLLftWX1ecorSXq2jBMosQAcKx.jpg,it,8.0,['IT'],tt0086779,4.0,La Mafia 2,Drama,1984.0,L'ultime secret,La Mafia 2,La Mafia,La Mafia 3
7194,/bE8ArAxpwIRfQXHX6zEaUzoSPOV.jpg,"An epic crime saga of power, money, violence and corruption. The mafia controls everything through local and international networks like an octopus, and anyone who tries to bring them down pays the ultimate price.",/2gLLftWX1ecorSXq2jBMosQAcKx.jpg,it,8.0,['IT'],tt0086779,4.0,La Mafia 3,Drama,1984.0,L'ultime secret,La Mafia 2,La Mafia,La Mafia 3
7195,/bE8ArAxpwIRfQXHX6zEaUzoSPOV.jpg,"An epic crime saga of power, money, violence and corruption. The mafia controls everything through local and international networks like an octopus, and anyone who tries to bring them down pays the ultimate price.",/2gLLftWX1ecorSXq2jBMosQAcKx.jpg,it,8.0,['IT'],tt0086779,4.0,La Mafia 4 - Raid contre la Mafia,Drama,1984.0,L'ultime secret,La Mafia 2,La Mafia,La Mafia 3
7196,/bE8ArAxpwIRfQXHX6zEaUzoSPOV.jpg,"An epic crime saga of power, money, violence and corruption. The mafia controls everything through local and international networks like an octopus, and anyone who tries to bring them down pays the ultimate price.",/2gLLftWX1ecorSXq2jBMosQAcKx.jpg,it,8.0,['IT'],tt0086779,4.0,La Mafia 5 - Mort à Palerme,Drama,1984.0,L'ultime secret,La Mafia 2,La Mafia,La Mafia 3
7197,/bE8ArAxpwIRfQXHX6zEaUzoSPOV.jpg,"An epic crime saga of power, money, violence and corruption. The mafia controls everything through local and international networks like an octopus, and anyone who tries to bring them down pays the ultimate price.",/2gLLftWX1ecorSXq2jBMosQAcKx.jpg,it,8.0,['IT'],tt0086779,4.0,La Mafia 6 - L'ultime secret,Drama,1984.0,L'ultime secret,La Mafia 2,La Mafia,La Mafia 3
