index,backdrop_path,overview,poster_path,original_language,vote_average,origin_country,parentTconst,title_series,genres,startYear,genres_,voisin1,voisin2,voisin3,voisin4
0,/pgnyWjaCMgPuHSav7ejQcY9Vfsg.jpg,"Balsamo, a scoundrel with the gift of mesmerism, seeks to gain power in the French court in the days before the Revolution.",/zbQwYWG6b96YOm9AnjxCmutZU6v.jpg,fr,7.0,['FR'],tt0069570,Joseph Balsamo,Drama,1973.0,0,Joseph Balsamo,A Town Like Alice,Shogun,Le pouvoir et la gloire
1,/j5hn3Xn2BDbwR3tBX7s8m8Y1zce.jpg,An English navigator becomes both a player and pawn in complex political games in feudal Japan.,/vfcbFozvKkC2dRqsNn0soIHGfBL.jpg,en,7.642,['US'],tt0080274,Shogun,Action & Adventure,1980.0,1,Shogun,A Town Like Alice,Le pouvoir et la gloire,Les diamants de la vengeance
2,/i8ZIhsRmHORpVzx5fLa52WoAuNi.jpg,"Set against the brutal chaos of World War II, a love story begins that will take two lovers through a living nightmare of captivity, across three continents and two decades. ",/kJcNzMyTxbURhccLbqSNF0EUUZe.jpg,en,7.6,['AU'],tt0081949,A Town Like Alice,Drama,1981.0,0,A Town Like Alice,Shogun,Le pouvoir et la gloire,Les diamants de la vengeance
3,/4Ma7OxeciQAzw5HZ0QxoabI0bIs.jpg,"Kane & Abel is a television miniseries, based on the novel of the same name written by Jeffrey Archer, that aired on CBS in 1985. It stars Peter Strauss as Rosnovski and Sam Neill as Kane.",/msBIc6YXux5HXA9u5O7oQZZnlol.jpg,en,7.4,['US'],tt0088547,Le pouvoir et la gloire,Drama,1985.0,0,Le pouvoir et la gloire,A Town Like Alice,Shogun,Les diamants de la vengeance
4,/8dgnA9Ac9M50KjABzQOiwYPXvMr.jpg,"Tracy Whitney was in love, pregnant and engaged to marry into one of America's best family. And then, with one phone call, she lost everything. After 5 years of unjust imprisonment, Tracy emerges from prison a new woman. Cunning. Ruthless. Determined to survive. But there is one man as formidable as she is. As their paths crisscross, they eventually become daredevil partners in an adventure that climaxes their criminal careers.",/4ooPNtGVZ4w72rJyDrFl2qySezm.jpg,en,7.2,['US'],tt0090455,Les diamants de la vengeance,Crime,1986.0,2,Les diamants de la vengeance,Si c'était demain,Sophie et Virginie,Le pouvoir et la gloire
5,/8dgnA9Ac9M50KjABzQOiwYPXvMr.jpg,"Tracy Whitney was in love, pregnant and engaged to marry into one of America's best family. And then, with one phone call, she lost everything. After 5 years of unjust imprisonment, Tracy emerges from prison a new woman. Cunning. Ruthless. Determined to survive. But there is one man as formidable as she is. As their paths crisscross, they eventually become daredevil partners in an adventure that climaxes their criminal careers.",/4ooPNtGVZ4w72rJyDrFl2qySezm.jpg,en,7.2,['US'],tt0090455,Si c'était demain,Crime,1986.0,2,Les diamants de la vengeance,Si c'était demain,Sophie et Virginie,Le pouvoir et la gloire
8,/sGc82zQ1QwWHmJvqgkEQQT6w0hv.jpg,A cartoon superhero interacts with live guests via his television set in this parody talk show based on 1960s Hanna-Barbera cartoon character Space Ghost.,/sjTe8T7FRhNcSlmT4XF38dd1BEF.jpg,en,7.8,['US'],tt0108937,Space Ghost Coast to Coast,Animation,1994.0,3,Space Ghost Coast to Coast,La Loi du puma,Oggy et les cafards,Les Griffin
9,/driyCjOLyk6iH0RjZezGMBwXQDr.jpg,"A down-on-her-luck former inmate tries to reconnect with her daughter--to the objections of her sister who raised the girl, meets a millionaire, and transforms into a strong woman, returning to society at Dancin' Days nightclub's opening.",/kskDVYidsKjzEZymYtWuQqzPU4i.jpg,pt,8.0,['BR'],tt0149440,Dancin' Days,Soap,1978.0,4,Dancin' Days,Shogun,Les enquêtes du commissaire Maigret,Space Ghost Coast to Coast
11,/5Gl5dDr32fwl4qhH1UQM9dgRJra.jpg,"The tale of David Copperfield from his birth and idyllic upbringing through hardship and adventure leading to his eventual discovery of his vocation as a novelist. On his journey David encounters a gallery of Dickens' most memorable characters, including Mr. Micawber, Uriah Heep, Steerforth, and others.",/73lKcw5bFmSD8lL0XuMbfYO29rO.jpg,en,7.1,['GB'],tt0167872,David Copperfield,Drama,1999.0,0,David Copperfield,Rosalinda,La cité des hommes,Elizabeth I
13,/jbTqU6BJMufoMnPSlO4ThrcXs3Y.jpg,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",/y0HUz4eUNUe3TeEd8fQWYazPaC7.jpg,en,7.4,['US'],tt0182576,Les Griffin,Animation,1999.0,3,Oggy et les cafards,Les Griffin,Lascars,Passions
