imdb_id,homepage,overview,popularity,poster_path,spoken_languages,video,title,language,isAdult,startYear,runtimeMinutes,genres,directors,writers,averageRating,actor1,actor2,actor3,Voisin1,Voisin2,Voisin3,Voisin4
tt0499556,,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?",27.007,/scFc8RD4sFxB2x0eIOaymphMnYh.jpg,"['cn', 'zh', 'en', 'ja']",False,Rogue - L'ultime affrontement,\N,0.0,2007,103,Action,0,"nm2184243,nm2124027",6.2,,,,0,1,6,4118
tt0186939,,"A cynical samurai is left as the sole survivor to fulfil a plot to assassinate the puppet of a villain intent on usurping the shogunate in the 17th century.
 A Shogunate Elder connives to rule Japan by making his puppet, the Shogun's brother Tsunashige, the next Shogun. The best strategist in Japan, Yamaga, leads a plot to stop the Elder, but his cabal is betrayed and most of the conspirators are captured and tortured.",3.161,/19qWczhr7f0uk1iPCNLNhTffSJX.jpg,['ja'],False,Le grand attentat,\N,0.0,1964,118,Action,1,nm0407474,7.3,,,,1,6,3200,4118
tt0089374,,"Officer Chan Ka Kui manages to put a major Hong Kong drug dealer behind the bars practically alone, after a shooting and an impressive chase inside a slum. Now, he must protect the boss' secretary, Selina, who will testify against the gangster in court.",14.865,/1ttiBVbzQl9eQ640JnNPHwfm7EZ.jpg,['cn'],False,Police Story,\N,0.0,1985,100,Action,2,"nm0000329,nm0849282",7.5,,,,2,479,2652,2282
tt11864074,,"It's 1989 in East Berlin: Suzie is kicked out of school shortly before she graduates from high school and has to defend herself as a worker in the cable factory. However, a randomly taken photo leads them to the fashion world of the GDR. The editor-in-chief Elsa Wilbrodt put them on the cover of Sibylle, the fashion magazine of the GDR. In the Berlin underground scene she made the acquaintance of the gay fashion designer Rudi and the photographer Coyote. Suzie must decide if she's brave enough to leave the old strands behind forever.",7.457,/aPCciODmLCQvdVdihd7mvl6sZDB.jpg,['de'],False,Dans un pays qui n'existe plus,\N,0.0,2022,100,Drama,3,nm1292413,6.2,,,,3,60,72,2907
tt9358256,https://www.screenireland.ie/directory/view/8737/shooting-the-mafia,"Sicilian photojournalist Letizia Battaglia began a long battle against the ruthless Cosa Nostra when she first photographed the sinister scene of a brutal murder. Documenting the barbaric rule of the Italian Mafia, she was an unwavering witness to its crimes. His art and courage helped end the horrific and bloody reign of the Corleonesi clan.",4.304,/zVMUGzZDAWkLGqBw5APQNB0F4Uw.jpg,"['it', 'en']",False,Shooting the Mafia,\N,0.0,2019,94,Documentary,4,\N,6.8,,,,4,532,3516,2474
tt5233510,,"Karsten apparently has it settled. However, in this provincial German town, a moment of weakness turns to disaster, disappointment soon fuels anger, justice hides behind hypocrisy, and evil gradually unfolds.",1.324,/99tG3tcItLePRwIuktpQe4QgxAF.jpg,"['de', 'fr']",True,Lendemain de fête,\N,0.0,2016,112,Drama,5,nm2196871,6.4,,,,5,1740,28,39
tt0067148,,"An ever evolving alien life-form arrives on a comet from the Dark Gaseous Nebula and proceeds to consume pollution. Spewing mists of sulfuric acid and corrosive sludge, neither humanity nor Godzilla may be able to defeat this toxic menace.",10.454,/mWVRlVwWK3sUCGd9lzMMWUa7CBu.jpg,['ja'],False,Godzilla contre Hedora,\N,0.0,1971,85,Action,6,"nm0052419,nm0454119",6.1,,,,6,1,3200,4118
tt0097289,,"Erik the Viking gathers warriors from his village and sets out on a dangerous journey to Valhalla, to ask the gods to end the Age of Ragnorok and allow his people to see sunlight again. A Pythonesque satire of Viking life.",9.771,/5EBoogtkpIs7bL0i8skJ4JqwpID.jpg,"['en', 'ja']",False,Erik le Viking,\N,0.0,1989,107,Adventure,7,nm0001402,6.1,,,,7,919,34,4485
tt2336960,http://www.inchallah-lefilm.com/,A Canadian doctor finds her sympathies sorely tested while working in the conflict ravaged Palestinian territories.,3.077,/q0i4jM540FZQQ7TjMbOPbVw0xD6.jpg,"['en', 'ar', 'fr', 'he']",False,Inch'Allah,\N,0.0,2012,102,Drama,8,nm1932706,6.8,,,,8,9,1740,21
tt1628055,,"A former high-school football star loses his shot at a college scholarship due to a devastating gridiron injury, but gets a second chance at living his dream.",7.887,/6tc4S4UJzAUtZJPHFpq2Weaa1bA.jpg,['en'],False,Touchback,\N,0.0,2011,118,Drama,9,nm0359534,6.5,,,,9,21,1690,1329
tt0162426,,"Gabriel, Bobby and Costa are old friends from Altona, a multicultural hood in Hamburg. Just out of prison, Gabriel wants to turn his back on crime, but the others continue to operate as petty criminals. Friendships are tested as the trio navigate a dark world of mafia bosses and deals gone wrong.",3.733,/2NqG0XFbVed3vUTXppdgCY9aEaW.jpg,"['de', 'tr', 'el', 'sh']",False,L'engrenage,\N,0.0,1998,99,Crime,10,nm0015359,7.2,,,,10,27,99,2666
tt4859246,,"A local don locks horns with the new cop, who has come to his place, but both are not what they initially seem to be.",2.961,/hlZIYvuEl6mIEbtJYM4NM7RXSjw.jpg,['ta'],False,Maari,\N,0.0,2015,138,Action,11,"nm4897036,nm5253704",6.4,,,,11,1914,2556,203
tt21438352,https://www.netflix.com/title/81387240,"A look at the Black revolution in 1970s cinema, from genre films to social realism, from the making of new superstars to the craft of rising auteurs.",5.621,/5ZJaBhx92ZC7COaQ8QQX6fCBqel.jpg,['en'],False,C'est assez noir pour vous?!?,\N,0.0,2022,135,Documentary,12,nm0593314,7.3,,,,12,120,15,532
tt0054709,https://www.nikkatsu.com/movie/20503.html,"In the city of Yokosuka, Kinta and his lover Haruko, both involved with yakuza, brave the post-occupation period with a goal to be together.",2.904,/9WfCDU8hF3zgFGf9IXdyL0j7Rot.jpg,['ja'],False,Cochons et Cuirassés,\N,0.0,1961,108,Comedy,13,"nm0849005,nm6432077,nm0652985",7.5,,,,2842,2525,13,720
tt13143988,https://www.zee5.com/movies/details/nail-polish/0-0-251089,"A high profile defence lawyer is promised a Rajya Sabha seat if he wins a case of an accused with charges of killing two migrant children. However, there's much more than what meets the eye in this courtroom drama that explores the uncertainty of human mind and the journey of criminal discovery.",2.582,/iXiF4G6uwPr4CC1dl7wGYmmXMTv.jpg,"['en', 'hi']",False,Nail Polish,\N,0.0,2021,128,Drama,14,nm3221779,7.2,,,,14,9,21,1329
tt15503562,,"In modern day China, two women strive to preserve Nushu, an ancient secret language which bonded generations of Chinese women together through centuries of oppression in a clandestine support system of sisterhood and survival.",0.6,/v8MBPXNXn7WUVPcGrHozsDKbsnN.jpg,['zh'],False,Nüshu - Le langage secret des Chinoises,\N,0.0,2022,89,Documentary,15,"nm2441621,nm0267175",7.3,,,,15,389,12,170
tt0460832,,"Aïdar, a young Kyrgyz man returns home from his studies in France, with a beautiful French fiancée in tow. His fiancée is warmly welcomed by the village and captivated by the beauty of the region, but he stubbornly refuses to tell his family that the two are engaged.",1.4,,"['ru', 'fr', 'ky']",False,Isabelle ou La rencontre inattendue,\N,0.0,2005,104,Comedy,16,"nm1058265,nm2014974",7.2,,,,16,66,92,3147
tt3226786,,"The inspirational tale of the grandfathers of the fitness movement as we now know it, Joe & Ben Weider. Battling anti-Semitism, racism and extreme poverty, the brothers beat all odds to build an empire & inspire future generations.",9.963,/f6rmiFTfT3Rf9XDrXfLO6XcAgWn.jpg,['en'],False,Bigger,\N,0.0,2018,107,Biography,17,"nm0918907,nm0303032,nm1026778,nm5984688",6.4,,,,17,3436,4461,2024
tt0072102,,,0.77,/q8wgiMgGUKLkl6XuTLHZwFDlg3Y.jpg,['fr'],False,Rude journée pour la reine,\N,0.0,1973,105,Drama,18,"nm0021392,nm4667127,nm0674702,nm0975314,nm4666711,nm4667070",6.1,,,,18,3153,3184,22
tt0407342,http://www.cinemaguild.com/atoutdesuite/index.html,"A girl from bourgeoisie discovers the pleasures of banditism, following her lover in his lifestyle.",1.529,/p1DzpOBhB3ZwGd3y09KzNH3RXHr.jpg,"['en', 'fr']",False,À tout de suite,\N,0.0,2004,95,Crime,19,"nm0415245,nm1652145",6.4,,,,19,1170,3257,3649
tt4386356,,"Following the breakdown of his marriage, a self-involved man begins to embrace fatherhood.",5.149,/jbYyGrDIssr5Y5D8yVvOiBq0tmf.jpg,"['fr', 'hu']",False,Tout pour être heureux,\N,0.0,2015,97,Comedy,20,"nm1758832,nm1175497",6.2,,,,20,4191,3648,32
tt0120815,,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",54.961,/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,"['cs', 'de', 'en', 'fr']",False,Il faut sauver le soldat Ryan,\N,0.0,1998,169,Drama,21,nm0734441,8.6,,,,21,1329,1690,9
tt8886110,,"Simon is an experienced doctor who rubs shoulders with death on a daily basis as part of his job in an intensive care unit. Like any good professional, he has learnt to shield himself from it. But when his mother is hospitalised in a nearby unit, and is in a critical condition, his private life and professional life clash spectacularly. Simon’s whole world, and all his certainties and beliefs, are shaken to the core – even to the extent of re-evaluating his career...",4.087,/keMKMc4BUkPRG5kFNPsIdeMFdO7.jpg,['fr'],False,L'Ordre des médecins,\N,0.0,2018,93,Drama,22,"nm1701553,nm0746196",6.3,,,,22,3153,3184,18
tt4482858,,"Haim-Aaron is a bright, ultra-orthodox religious scholar living in Jerusalem. His talents and devotion are envied by all. One evening, following a self-imposed fast, Haim-Aaron collapses and loses consciousness. The paramedics announce his death, but his father takes over resuscitation efforts and, beyond all expectations, Haim-Aaron comes back to life. After the accident, try as he might, Haim-Aaron remains apathetic to his studies. He feels overwhelmed by a sudden awakening of his body and suspects this is God testing him. He wonders if he should stray from the prescribed path and find a way to rekindle his faith...  The title means ""Rectify"" in Hebrew; nevertheless the movie is called Tikkun in the English-speaking world.",2.054,/dhAcVYLsIFPcMUhRQs7HKPhaSU.jpg,"['he', 'yi']",False,Tikkoun,\N,0.0,2015,119,Drama,23,nm3844801,6.4,,,,23,22,3184,3153
tt0071275,,"Following a bungled robbery, three violent criminals take a young woman, a middle-aged man, and a child hostage and force them to drive them outside Rome to help them make a clean getaway.",7.721,/a8dvGmzPGm8sciL4RmStzZpYKDa.jpg,['it'],False,Les chiens enragés,\N,0.0,1974,96,Crime,24,"nm0108988,nm0000878,nm0296658,nm0502863,nm7429833",7.4,,,,24,52,4369,939
