tconst,ordering,nconst,category,job,characters
tt2787570,1.0,nm0345695,actor,\N,"[""Arvid Stjärnblom""]"
tt2787570,2.0,nm4482488,actress,\N,"[""Lydia Stille""]"
tt2787570,3.0,nm1203571,actress,\N,"[""Dagmar Randel""]"
tt2787570,4.0,nm0638824,actor,\N,"[""Markel""]"
tt2787570,5.0,nm3140538,actor,\N,"[""Carl Lidner""]"
tt2787570,6.0,nm0635109,actor,\N,"[""Markus Roslin""]"
tt2787570,7.0,nm2178084,actor,\N,"[""Lovén""]"
tt2787570,8.0,nm0706548,actor,\N,"[""Anders Stille""]"
tt2787570,9.0,nm0351453,actor,\N,"[""Stjarnblom""]"
tt2787570,10.0,nm0866246,actress,\N,"[""Fröken Zeijlon""]"
tt2787570,11.0,nm0000278,director,\N,\N
tt2787570,12.0,nm0845464,writer,novel,\N
tt2787570,13.0,nm0771054,writer,written by,\N
tt2787570,14.0,nm15589754,writer,\N,\N
tt2787570,15.0,nm15589755,writer,\N,\N
tt2787570,16.0,nm5244086,producer,producer,\N
tt2787570,17.0,nm2214994,producer,producer,\N
tt2787570,18.0,nm1626477,producer,producer,\N
tt2787570,19.0,nm0125762,composer,\N,\N
tt2787570,20.0,nm0360782,cinematographer,director of photography,\N
tt2787570,21.0,nm1293514,editor,\N,\N
tt2787570,22.0,nm0609129,editor,\N,\N
tt2787570,23.0,nm4924683,editor,\N,\N
tt2787570,24.0,nm0459845,casting_director,\N,\N
tt2787570,25.0,nm0039607,production_designer,\N,\N
tt27876192,1.0,nm0790096,actor,\N,"[""Ismael""]"
tt27876192,2.0,nm0268854,actress,\N,"[""Zahra""]"
tt27876192,3.0,nm0149247,actor,\N,"[""Hamada""]"
tt27876192,4.0,nm0451228,actor,\N,"[""Raafat""]"
tt27876192,5.0,nm2685146,actress,\N,"[""Mother of Zahra""]"
tt27876192,6.0,nm0252621,actor,\N,"[""Essam""]"
tt27876192,7.0,nm0149795,actress,\N,"[""Tafida""]"
tt27876192,8.0,nm0437231,actor,\N,"[""Detective""]"
tt27876192,9.0,nm0876152,actor,\N,\N
tt27876192,10.0,nm5006432,actor,\N,\N
tt27876192,11.0,nm0615932,director,\N,\N
tt27876192,12.0,nm3434032,writer,\N,\N
tt27876192,13.0,nm14898441,producer,producer,\N
tt27876192,14.0,nm13613497,cinematographer,\N,\N
tt27876192,15.0,nm0265803,editor,\N,\N
tt27876411,1.0,nm1796099,actor,\N,"[""Tomasz""]"
tt27876411,2.0,nm8272878,actress,\N,"[""Anka""]"
tt27876411,3.0,nm1268200,actress,\N,"[""Karen""]"
tt27876411,4.0,nm10658658,actor,\N,"[""'Sokole Oko'""]"
tt27876411,5.0,nm14904696,actress,\N,"[""'Wiewióra'""]"
tt27876411,6.0,nm14904697,actor,\N,"[""'Mentorek'""]"
tt27876411,7.0,nm4713909,actor,\N,"[""'Adios'""]"
tt27876411,8.0,nm0245919,actress,\N,"[""'Lajma'""]"
tt27876411,9.0,nm1669753,actor,\N,"[""Petersen""]"
tt27876411,10.0,nm0087787,actress,\N,"[""Gierymska""]"
tt27876411,11.0,nm2320357,director,\N,\N
tt27876411,12.0,nm7672967,writer,screenplay,\N
tt27876411,13.0,nm2320357,writer,associate screenplay,\N
tt27876411,14.0,nm0631201,writer,based on a novel by,\N
tt27876411,15.0,nm2770736,producer,producer,\N
tt27876411,16.0,nm12440112,producer,producer,\N
tt27876411,17.0,nm9463008,producer,producer,\N
tt27876411,18.0,nm4719819,producer,producer,\N
tt27876411,19.0,nm2736150,composer,composer,\N
tt27876411,20.0,nm1284095,cinematographer,cinematographer,\N
tt27876411,21.0,nm5080623,editor,editor,\N
tt27876411,22.0,nm3250767,casting_director,\N,\N
tt27876411,23.0,nm6013612,casting_director,casting_director,\N
tt27876411,24.0,nm12148782,production_designer,production_designer,\N
tt2787824,1.0,nm1839955,actor,\N,"[""Sam Lorit""]"
tt2787824,2.0,nm1671102,actress,\N,"[""Solène""]"
tt2787824,3.0,nm4401484,actress,\N,"[""Cléo""]"
tt2787824,4.0,nm5585713,actor,\N,"[""Idriss Diago""]"
tt2787824,5.0,nm0758912,actor,\N,"[""Marco, l'agent d'Idriss""]"
tt2787824,6.0,nm0509876,actor,\N,"[""Coubert""]"
tt2787824,7.0,nm2463054,actor,\N,"[""Manu Litrac""]"
tt2787824,8.0,nm3188755,actor,\N,"[""Jeannot""]"
tt2787824,9.0,nm3334693,actor,\N,"[""Pitt""]"
tt2787824,10.0,nm1204852,actor,\N,"[""Nounours""]"
tt2787824,11.0,nm0688490,director,\N,\N
tt2787824,12.0,nm1119478,director,\N,\N
tt2787824,13.0,nm2056787,writer,scenario,\N
tt2787824,14.0,nm2425150,writer,original story,\N
tt2787824,15.0,nm2898320,writer,original scenario,\N
tt2787824,16.0,nm1136191,writer,original scenario,\N
tt2787824,17.0,nm2963250,producer,producer,\N
tt2787824,18.0,nm0896356,producer,producer,\N
tt2787824,19.0,nm1562889,composer,\N,\N
tt2787824,20.0,nm2187428,composer,\N,\N
tt2787824,21.0,nm1458040,cinematographer,cinematographer,\N
tt2787824,22.0,nm1117315,editor,editor,\N
tt2787824,23.0,nm0255360,editor,\N,\N
tt2787824,24.0,nm0486469,editor,editor,\N
tt2787824,25.0,nm1308410,casting_director,\N,\N
tt2787824,26.0,nm1268216,production_designer,\N,\N
tt27881474,1.0,nm5242231,actor,\N,"[""Mr. Cheng""]"
tt27881474,2.0,nm0155617,actor,\N,"[""Cheng Chi-Hung""]"
tt27881474,3.0,nm9196622,actress,\N,"[""Sherry""]"
tt27881474,4.0,nm4848909,actress,\N,"[""Heidi""]"
tt27881474,5.0,nm14900228,actor,\N,"[""Young Eli""]"
tt27881474,6.0,nm15522156,actor,\N,"[""Alan""]"
tt27881474,7.0,nm8092864,actress,\N,"[""Wong Ka-Yee""]"
tt27881474,8.0,nm13154934,actor,\N,"[""Vincent""]"
tt27881474,9.0,nm15311077,actor,\N,"[""Young Mr. Cheng""]"
tt27881474,10.0,nm14643164,actress,\N,"[""Young Sherry""]"
tt27881474,11.0,nm5948808,director,\N,\N
tt27881474,12.0,nm5948808,writer,\N,\N
tt27881474,13.0,nm0232504,producer,producer,\N
tt27881474,14.0,nm15361773,composer,\N,\N
tt27881474,15.0,nm15361771,composer,\N,\N
tt27881474,16.0,nm15361772,composer,\N,\N
tt27881474,17.0,nm5752588,cinematographer,director of photography,\N
